"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","testHelloWorld()","","Tue Aug 05 11:20:56 GMT 2025","passed","Tue Aug 05 11:20:56 GMT 2025","","dev.jhamel.HelloWorldTest","dev.jhamel.HelloWorldTest","testHelloWorld"
"","29","testHelloWorld2()","","Tue Aug 05 11:20:56 GMT 2025","failed","Tue Aug 05 11:20:56 GMT 2025","","dev.jhamel.HelloWorldTest","dev.jhamel.HelloWorldTest","testHelloWorld2"
"","2","testHelloWorld()","","Tue Aug 05 11:20:56 GMT 2025","failed","Tue Aug 05 11:20:56 GMT 2025","","dev.jhamel.HelloWorld2Test","dev.jhamel.HelloWorld2Test","testHelloWorld"
"","2","testHelloWorld232()","","Tue Aug 05 11:20:56 GMT 2025","failed","Tue Aug 05 11:20:56 GMT 2025","","dev.jhamel.HelloWorld2Test","dev.jhamel.HelloWorld2Test","testHelloWorld232"
